"gene_id","accession"
"11566","NP_031448"
"11567","NM_009635"
"11567","NP_033765"
"11568","NM_009636"
"11568","NP_033766"
"11569","NM_001005605"
"11569","NM_009637"
"11569","NM_178803"
"11569","NP_001005605"
"11569","NP_033767"
"11569","NP_848918"
"11571","NM_009638"
"11571","NP_033768"
"11572","NM_009639"
"11572","NP_033769"
"11576","NM_007423"
"11576","NP_031449"
"11593","NM_001005847"
"11593","NM_001205054"
"11593","NP_001005847"
"11593","NP_001191983"
"11595","NM_007424"
"11595","NP_031450"
"11596","NM_007425"
"11596","NP_031451"
"11600","NM_009640"
"11600","NP_033770"
"11601","NM_007426"
"11601","NP_031452"
"11602","NM_009641"
"11602","NP_033771"
"11603","NM_021604"
"11603","NP_067617"
"11604","NM_007427"
"11604","NP_031453"
"11605","NM_013463"
"11605","NP_038491"
"11606","NM_007428"
"11606","NP_031454"
"11607","NM_177322"
"11607","NP_796296"
"11608","NM_175086"
"11608","NP_780295"
"11609","NM_007429"
"11609","NP_031455"
"11610","NM_009642"
"11610","NP_033772"
"11611","NM_016702"
"11611","NP_057911"
"11614","NM_007430"
"11614","NP_031456"
"11622","NM_013464"
"11622","NP_038492"
"11624","NM_009644"
"11624","NP_033774"
"11625","NM_013465"
"11625","NP_038493"
"11628","NM_009645"
"11628","NP_033775"
"11629","NM_019467"
"11629","NP_062340"
"11630","NM_172393"
"11630","NP_765981"
"11632","NM_016666"
"11632","NP_057875"
"11634","NM_009646"
"11634","NP_033776"
"11636","NM_001198790"
"11636","NM_001198791"
"11636","NM_001198792"
"11636","NM_021515"
"11636","NP_001185719"
"11636","NP_001185720"
"11636","NP_001185721"
"11636","NP_067490"
"11637","NM_001033966"
"11637","NM_016895"
"11637","NP_001029138"
"11637","NP_058591"
"11639","NM_001177602"
"11639","NM_001177604"
"11639","NM_001177605"
"11639","NM_009647"
"11639","NP_001171073"
"11639","NP_001171075"
"11639","NP_001171076"
"11639","NP_033777"
"11640","NM_001042541"
"11640","NM_009648"
"11640","NP_001036006"
"11640","NP_033778"
"11641","NM_001035532"
"11641","NM_001035533"
"11641","NM_009649"
"11641","NP_001030609"
"11641","NP_001030610"
"11641","NP_033779"
"11642","NM_009650"
"11642","NP_033780"
"11643","NM_001042542"
"11643","NM_009651"
"11643","NP_001036007"
"11643","NP_033781"
"11647","NM_007431"
"11647","NP_031457"
"11648","NM_007432"
"11648","NP_031458"
"11650","NM_007433"
"11650","NP_031459"
"11651","NM_001165894"
"11651","NM_009652"
"11651","NP_001159366"
"11651","NP_033782"
"11652","NM_001110208"
"11652","NM_007434"
"11652","NP_001103678"
"11652","NP_031460"
"11655","NM_020559"
"11655","NP_065584"
"11656","NM_001102446"
"11656","NM_009653"
"11656","NP_001095916"
"11656","NP_033783"
"11657","NM_009654"
"11657","NP_033784"
"11658","NM_009655"
"11658","NP_033785"
"11666","NM_007435"
"11666","NP_031461"
"11668","NM_013467"
"11668","NP_038495"
"11669","NM_009656"
"11669","NP_033786"
"11670","NM_001112725"
"11670","NM_007436"
"11670","NP_001106196"
"11670","NP_031462"
"11671","NM_007437"
"11671","NP_031463"
"11674","NM_001177307"
"11674","NM_001177308"
"11674","NM_007438"
"11674","NP_001170778"
"11674","NP_001170779"
"11674","NP_031464"
"11676","NM_009657"
"11676","NP_033787"
"11677","NM_009658"
"11677","NP_033788"
"11682","NM_007439"
"11682","NP_031465"
"11684","NM_007440"
"11684","NP_031466"
"11685","NM_145684"
"11685","NP_663717"
"11686","NM_009659"
"11686","NP_033789"
"11687","NM_009660"
"11687","NP_033790"
"11688","NM_009661"
"11688","NP_033791"
"11689","NM_009662"
"11689","NP_033792"
"11690","NM_009663"
"11690","NP_033793"
"11692","NM_023040"
"11692","NM_212443"
"11692","NP_075527"
"11694","NM_007441"
"11694","NP_031467"
"11695","NM_007442"
"11695","NP_031468"
"11698","NM_009664"
"11698","NP_033794"
"11699","NM_007443"
"11699","NP_031469"
"11702","NM_009665"
"11702","NP_033795"
"11704","NM_001081978"
"11704","NM_009666"
"11704","NP_001075447"
"11704","NP_033796"
"11705","NM_007445"
"11705","NP_031471"
"11717","NM_009667"
"11717","NP_033797"
"11720","NM_133653"
"11720","NP_598414"
"11722","NM_001110505"
"11722","NM_007446"
"11722","NP_001103975"
"11722","NP_031472"
"11727","NM_001161731"
"11727","NM_007447"
"11727","NP_001155203"
"11727","NP_031473"
"11730","NM_001123394"
"11730","NP_001116866"
"11731","NM_007449"
"11731","NP_031475"
"11732","NM_020332"
"11732","NP_065065"
"11733","NM_001110783"
"11733","NM_031158"
"11733","NP_001104253"
"11733","NP_112435"
"11735","NM_009670"
"11735","NM_146005"
"11735","NM_170687"
"11735","NM_170688"
"11735","NM_170689"
"11735","NM_170690"
"11735","NM_170728"
"11735","NM_170729"
"11735","NM_170730"
"11735","NP_033800"
"11735","NP_666117"
"11735","NP_733788"
"11735","NP_733789"
"11735","NP_733790"
"11735","NP_733791"
