"gene_id","accession"
"304061","ENSRNOG00000001632"
"304109","ENSRNOG00000021569"
"304201","ENSRNOG00000001034"
"304419","ENSRNOG00000042564"
"304431","ENSRNOG00000000931"
"304458","ENSRNOG00000038406"
"304512","ENSRNOG00000001397"
"304580","ENSRNOG00000000695"
"304654","ENSRNOG00000025796"
"304669","ENSRNOG00000003682"
"304719","ENSRNOG00000029076"
"304740","ENSRNOG00000002376"
"305178","ENSRNOG00000002270"
"305198","ENSRNOG00000002004"
"305386","ENSRNOG00000003174"
"305408","ENSRNOG00000004279"
"305466","ENSRNOG00000031658"
"305491","ENSRNOG00000011940"
"305645","ENSRNOG00000005783"
"305850","ENSRNOG00000011809"
"305913","ENSRNOG00000008734"
"305987","ENSRNOG00000024703"
"306157","ENSRNOG00000008631"
"306576","ENSRNOG00000012757"
"306608","ENSRNOG00000019700"
"306771","ENSRNOG00000018122"
"306966","ENSRNOG00000017947"
"307582","ENSRNOG00000011300"
"307615","ENSRNOG00000025842"
"307642","ENSRNOG00000042179"
"307726","ENSRNOG00000013307"
"307764","ENSRNOG00000026880"
"307927","ENSRNOG00000018027"
"307989","ENSRNOG00000013687"
"308097","ENSRNOG00000018915"
"308265","ENSRNOG00000014916"
"308376","ENSRNOG00000011411"
"308468","ENSRNOG00000019254"
"308472","ENSRNOG00000032034"
"308653","ENSRNOG00000011729"
"308755","ENSRNOG00000011213"
"308762","ENSRNOG00000013559"
"308810","ENSRNOG00000033733"
"308834","ENSRNOG00000024961"
"308839","ENSRNOG00000024194"
"308993","ENSRNOG00000030632"
"309159","ENSRNOG00000020299"
"309550","ENSRNOG00000011720"
"309646","ENSRNOG00000042805"
"309692","ENSRNOG00000001276"
"309757","ENSRNOG00000000380"
"309767","ENSRNOG00000028484"
"309860","ENSRNOG00000000316"
"309866","ENSRNOG00000025998"
"310005","ENSRNOG00000029304"
"310062","ENSRNOG00000014528"
"310192","ENSRNOG00000012148"
"310550","ENSRNOG00000023789"
"310707","ENSRNOG00000017669"
"310810","ENSRNOG00000016351"
"310843","ENSRNOG00000014872"
"311215","ENSRNOG00000008944"
"311423","ENSRNOG00000021234"
"311496","ENSRNOG00000011028"
"311592","ENSRNOG00000014424"
"311832","ENSRNOG00000011353"
"311886","ENSRNOG00000022015"
"312213","ENSRNOG00000013072"
"312320","ENSRNOG00000009052"
"312652","ENSRNOG00000025209"
"312667","ENSRNOG00000006717"
"312682","ENSRNOG00000012394"
"312831","ENSRNOG00000027869"
"312981","ENSRNOG00000007445"
"313040","ENSRNOG00000007057"
"313167","ENSRNOG00000010409"
"313169","ENSRNOG00000011725"
"313244","ENSRNOG00000012546"
"313471","ENSRNOG00000008105"
"313484","ENSRNOG00000023213"
"313496","ENSRNOG00000017253"
"313644","ENSRNOG00000013825"
"313705","ENSRNOG00000026447"
"313756","ENSRNOG00000014226"
"313914","ENSRNOG00000005938"
"314171","ENSRNOG00000004521"
"314416","ENSRNOG00000004762"
"314639","ENSRNOG00000020416"
"314824","ENSRNOG00000026962"
"314836","ENSRNOG00000004106"
"314843","ENSRNOG00000004840"
"314904","ENSRNOG00000005034"
"314997","ENSRNOG00000025300"
"315210","ENSRNOG00000004538"
"315216","ENSRNOG00000005579"
"315263","ENSRNOG00000033397"
"315320","ENSRNOG00000008819"
"315326","ENSRNOG00000010588"
"315430","ENSRNOG00000008990"
"315606","ENSRNOG00000015133"
"315759","ENSRNOG00000030800"
"315992","ENSRNOG00000014576"
"316153","ENSRNOG00000042111"
"316313","ENSRNOG00000012207"
"316616","ENSRNOG00000019592"
"316767","ENSRNOG00000012338"
"316935","ENSRNOG00000033678"
"317628","ENSRNOG00000000166"
"360445","ENSRNOG00000042574"
"360464","ENSRNOG00000002912"
"360466","ENSRNOG00000002420"
"360488","ENSRNOG00000004333"
"360509","ENSRNOG00000006932"
"360550","ENSRNOG00000017657"
"360577","ENSRNOG00000008178"
"360606","ENSRNOG00000004276"
"360625","ENSRNOG00000011986"
"360663","ENSRNOG00000006600"
"360667","ENSRNOG00000000247"
"360715","ENSRNOG00000002041"
"360747","ENSRNOG00000025787"
"360748","ENSRNOG00000025028"
"360763","ENSRNOG00000033411"
"360817","ENSRNOG00000001120"
"360949","ENSRNOG00000005043"
"361006","ENSRNOG00000007046"
"361036","ENSRNOG00000042743"
"361057","ENSRNOG00000009873"
"361070","ENSRNOG00000013288"
"361153","ENSRNOG00000021693"
"361243","ENSRNOG00000043136"
"361317","ENSRNOG00000027250"
"361346","ENSRNOG00000028677"
"361352","ENSRNOG00000017204"
"361367","ENSRNOG00000019444"
"361476","ENSRNOG00000018762"
"361498","ENSRNOG00000038677"
"361602","ENSRNOG00000017311"
"361652","ENSRNOG00000018637"
"361709","ENSRNOT00000036185"
"361877","ENSRNOG00000016213"
"361886","ENSRNOG00000012655"
"361902","ENSRNOG00000042327"
"361921","ENSRNOG00000024365"
"362088","ENSRNOG00000018845"
"362113","ENSRNOG00000022514"
"362145","ENSRNOG00000022922"
"362178","ENSRNOG00000012089"
"362240","ENSRNOG00000010417"
"362263","ENSRNOG00000032656"
"362275","ENSRNOG00000008283"
"362286","ENSRNOG00000009936"
"362367","ENSRNOG00000034062"
"362398","ENSRNOG00000017003"
"362402","ENSRNOG00000010213"
"362587","ENSRNOG00000016047"
"362590","ENSRNOG00000007902"
"362607","ENSRNOG00000000127"
"362642","ENSRNOG00000017706"
"362646","ENSRNOG00000014305"
"362683","ENSRNOG00000025926"
"362708","ENSRNOG00000006146"
"362783","ENSRNOG00000043143"
"362799","ENSRNOG00000005271"
"362834","ENSRNOG00000028956"
"362873","ENSRNOG00000007970"
"362980","ENSRNOG00000006028"
"363018","ENSRNOG00000010999"
"363031","ENSRNOG00000014343"
"363055","ENSRNOG00000029826"
"363076","ENSRNOG00000043068"
"363104","ENSRNOG00000025332"
"363127","ENSRNOG00000011491"
"363193","ENSRNOG00000016849"
"363229","ENSRNOG00000011677"
"363239","ENSRNOG00000014722"
"363248","ENSRNOG00000030438"
"363274","ENSRNOG00000029865"
"363632","ENSRNOG00000012155"
"363644","ENSRNOG00000007788"
"363658","ENSRNOG00000007523"
"364255","ENSRNOG00000040011"
"364260","ENSRNOG00000039995"
"364513","ENSRNOG00000024590"
"364688","ENSRNOG00000023831"
"364798","ENSRNOG00000016992"
"364814","ENSRNOG00000016739"
"364814","ENSRNOG00000030363"
"365184","ENSRNOG00000027705"
"365362","ENSRNOG00000043296"
"365390","ENSRNOG00000026039"
"365544","ENSRNOG00000001157"
"365603","ENSRNOG00000043199"
"365661","ENSRNOG00000039771"
"365791","ENSRNOG00000038242"
"365802","ENSRNOG00000013507"
"365834","ENSRNOG00000032816"
"365962","ENSRNOG00000042332"
"366473","ENSRNOG00000042650"
"367038","ENSRNOG00000043093"
"405422","ENSRNOG00000017362"
"407759","ENSRNOG00000030814"
"414358","ENSRNOG00000043026"
"494322","ENSRNOG00000004076"
"498002","ENSRNOG00000020771"
"498004","ENSRNOG00000036796"
"498087","ENSRNOG00000028918"
"498140","ENSRNOG00000039819"
"498310","ENSRNOG00000042286"
"498366","ENSRNOG00000026504"
"498398","ENSRNOG00000037924"
"498587","ENSRNOG00000011343"
"498735","ENSRNOG00000016672"
"499010","ENSRNOG00000018960"
"499014","ENSRNOG00000029049"
"499025","ENSRNOG00000034080"
"499027","ENSRNOG00000042841"
"499060","ENSRNOG00000026569"
"499151","ENSRNOG00000037219"
"499270","ENSRNOG00000026040"
"499282","ENSRNOG00000005953"
"499655","ENSRNOG00000042561"
"499669","ENSRNOG00000020875"
"499949","ENSRNOG00000028440"
"499957","ENSRNOG00000036719"
"499979","ENSRNOG00000042645"
"500011","ENSRNOG00000039801"
"500258","ENSRNOG00000022155"
"500453","ENSRNOG00000024729"
"500491","ENSRNOG00000033323"
"500536","ENSRNOG00000037518"
"500538","ENSRNOG00000023786"
"500577","ENSRNOG00000028064"
"500809","ENSRNOG00000033067"
"500889","ENSRNOG00000032827"
"500904","ENSRNOG00000006940"
"500929","ENSRNOG00000032138"
"501048","ENSRNOG00000037295"
"501127","ENSRNOG00000032910"
"501147","ENSRNOG00000012637"
"501183","ENSRNOT00000038536"
"501199","ENSRNOT00000034759"
"501642","ENSRNOG00000024068"
"501738","ENSRNOG00000036728"
"502663","ENSRNOG00000015277"
"502727","ENSRNOG00000005818"
"502873","ENSRNOG00000009863"
"502959","ENSRNOG00000038329"
"502961","ENSRNOG00000038324"
"502962","ENSRNOG00000029094"
"619374","ENSRNOG00000042848"
"619550","ENSRNOG00000010718"
"641434","ENSRNOG00000003626"
"641452","ENSRNOG00000042523"
"654496","ENSRNOG00000043370"
"679584","ENSRNOG00000031732"
"679879","ENSRNOG00000040020"
"680172","ENSRNOG00000011853"
"680282","ENSRNOG00000043042"
"680338","ENSRNOG00000042619"
"680519","ENSRNOG00000038322"
"680640","ENSRNOG00000043088"
"680990","ENSRNOG00000028470"
"681126","ENSRNOG00000032859"
"681241","ENSRNOG00000021898"
"681364","ENSRNOG00000040144"
"681377","ENSRNOG00000008807"
"684771","ENSRNOG00000021204"
"685059","ENSRNOG00000039510"
"685080","ENSRNOG00000039113"
"685153","ENSRNOG00000042526"
"685305","ENSRNOG00000029287"
"685611","ENSRNOG00000002171"
"685629","ENSRNOG00000043488"
"685819","ENSRNOG00000042766"
"686048","ENSRNOG00000030297"
"686098","ENSRNOG00000015658"
"686103","ENSRNOG00000009846"
"686142","ENSRNOG00000029573"
"686142","ENSRNOG00000042120"
"686922","ENSRNOG00000038300"
"687001","ENSRNOG00000004174"
"688802","ENSRNOT00000060681"
"689008","ENSRNOG00000043219"
"689035","ENSRNOG00000009148"
"689443","ENSRNOG00000017057"
"689569","ENSRNOG00000039574"
"689629","ENSRNOG00000023039"
"689710","ENSRNOG00000001793"
"689830","ENSRNOG00000021134"
"689844","ENSRNOG00000043270"
"689872","ENSRNOG00000032838"
"689949","ENSRNOG00000017140"
"689972","ENSRNOG00000009043"
"690116","ENSRNOG00000026952"
"690163","ENSRNOG00000043094"
"690358","ENSRNOG00000008674"
"690751","ENSRNOG00000018967"
"691011","ENSRNOG00000039394"
"691048","ENSRNOG00000042642"
"691076","ENSRNOG00000039338"
"691086","ENSRNOG00000015527"
"691170","ENSRNOG00000022871"
"691231","ENSRNOG00000002645"
"691312","ENSRNOG00000042621"
"691322","ENSRNOG00000039342"
"691322","ENSRNOG00000039368"
"691468","ENSRNOG00000038400"
"691493","ENSRNOG00000009303"
"691920","ENSRNOG00000010050"
"691960","ENSRNOG00000028668"
"100312982","ENSRNOG00000023383"
"100359530","ENSRNOG00000030514"
"100359595","ENSRNOG00000000802"
"100360168","ENSRNOG00000039348"
"100360169","ENSRNOG00000042077"
"100360475","ENSRNOG00000019718"
"100360517","ENSRNOG00000042963"
"100360573","ENSRNOG00000020093"
"100360581","ENSRNOG00000031848"
"100360628","ENSRNOG00000043174"
"100360645","ENSRNOG00000043236"
"100360801","ENSRNOG00000014541"
"100360873","ENSRNOG00000043418"
"100360914","ENSRNOG00000010889"
"100360997","ENSRNOG00000043089"
"100361506","ENSRNOG00000016716"
"100361588","ENSRNOG00000000904"
"100361783","ENSRNOG00000033392"
"100361831","ENSRNOG00000040042"
"100361900","ENSRNOG00000042525"
"100361926","ENSRNOG00000032874"
"100362071","ENSRNOG00000037796"
"100362255","ENSRNOG00000023651"
"100362409","ENSRNOG00000032359"
"100362565","ENSRNOG00000033737"
"100362814","ENSRNOG00000011132"
"100363332","ENSRNOG00000024277"
"100363344","ENSRNOG00000031330"
"100910318","ENSRNOT00000006006"
"24152","ENSRNOG00000017701"
"24153","ENSRNOG00000028896"
"24157","ENSRNOG00000030287"
"24158","ENSRNOG00000009845"
"24159","ENSRNOG00000016924"
"24161","ENSRNOG00000005260"
"24162","ENSRNOG00000013594"
"24163","ENSRNOG00000029762"
"24165","ENSRNOG00000010265"
"24167","ENSRNOG00000012098"
"24170","ENSRNOG00000013039"
"24171","ENSRNOG00000015903"
"24172","ENSRNOG00000012464"
"24174","ENSRNOG00000013887"
"24175","ENSRNOG00000009299"
"24176","ENSRNOG00000019217"
"24177","ENSRNOG00000002889"
"24179","ENSRNOG00000018445"
"24180","ENSRNOG00000018346"
"24184","ENSRNOG00000000122"
"24185","ENSRNOG00000028629"
"24186","ENSRNOG00000002911"
"24188","ENSRNOG00000017619"
"24189","ENSRNOG00000023647"
"24190","ENSRNOG00000006807"
"24191","ENSRNOG00000011452"
"24192","ENSRNOG00000009513"
"24197","ENSRNOG00000030020"
"24203","ENSRNOG00000016168"
"24205","ENSRNOG00000020423"
"24206","ENSRNOG00000029572"
"24208","ENSRNOG00000005639"
"24209","ENSRNOG00000020434"
"24210","ENSRNOG00000018693"
"24212","ENSRNOG00000007290"
"24213","ENSRNOG00000020263"
"24216","ENSRNOG00000020985"
"24217","ENSRNOG00000018543"
"24218","ENSRNOG00000012878"
"24221","ENSRNOG00000021229"
"24223","ENSRNOG00000017123"
"24224","ENSRNOG00000002791"
"24230","ENSRNOG00000010549"
"24233","ENSRNOG00000030729"
"24235","ENSRNOG00000004062"
"24236","ENSRNOG00000004125"
"24237","ENSRNOG00000024115"
"24239","ENSRNOG00000007090"
"24240","ENSRNOG00000026474"
"24241","ENSRNOG00000011130"
"24242","ENSRNOG00000004060"
"24242","ENSRNOG00000016770"
"24244","ENSRNOG00000004060"
"24244","ENSRNOG00000016770"
"24245","ENSRNOG00000004005"
