"gene_id","accession"
"24323","NP_036680"
"24324","NM_012549"
"24324","NP_036681"
"24326","NM_012550"
"24326","NP_036682"
"24329","NM_031507"
"24329","NP_113695"
"24330","NM_012551"
"24330","NP_036683"
"24331","NM_012552"
"24331","NP_036684"
"24332","NM_012553"
"24332","NP_036685"
"24333","NM_001109908"
"24333","NM_012554"
"24333","NP_001103378"
"24333","NP_036686"
"24334","NM_139325"
"24334","NP_647541"
"24335","NM_017001"
"24335","NP_058697"
"24336","NM_017002"
"24336","NP_058698"
"24337","NM_017003"
"24337","NP_058699"
"24337","XM_003750918"
"24337","XM_003752373"
"24337","XP_003750966"
"24337","XP_003752421"
"24338","NM_001104528"
"24338","NP_001097998"
"24346","NM_017004"
"24346","NP_058700"
"24356","NM_012555"
"24356","NP_036687"
"24360","NM_012556"
"24360","NP_036688"
"24361","NM_012557"
"24361","NP_036689"
"24362","NM_012558"
"24362","NP_036690"
"24366","NM_020071"
"24366","NP_064456"
"24367","NM_012559"
"24367","NP_036691"
"24368","NM_017005"
"24368","NP_058701"
"24370","NM_012560"
"24370","NP_036692"
"24373","NM_012561"
"24373","NP_036693"
"24375","NM_012562"
"24375","NP_036694"
"24377","NM_017006"
"24377","NP_058702"
"24379","NM_017007"
"24379","NP_058703"
"24380","NM_012563"
"24380","NP_036695"
"24382","NM_001145840"
"24382","NP_001139312"
"24383","NM_017008"
"24383","NP_058704"
"24384","NM_012564"
"24384","NP_036696"
"24385","NM_001270849"
"24385","NM_001270850"
"24385","NM_012565"
"24385","NP_001257778"
"24385","NP_001257779"
"24385","NP_036697"
"24387","NM_017009"
"24387","NP_058705"
"24388","NM_012566"
"24388","NP_036698"
"24390","NM_053287"
"24390","NP_445739"
"24391","NM_001034848"
"24391","NP_001030020"
"24392","NM_012567"
"24392","NP_036699"
"24397","NM_012568"
"24397","NP_036700"
"24398","NM_001109968"
"24398","NM_012569"
"24398","NP_001103438"
"24398","NP_036701"
"24399","NM_012570"
"24399","NP_036702"
"24400","NM_030987"
"24400","NP_112249"
"24401","NM_012571"
"24401","NP_036703"
"24404","NM_030826"
"24404","NP_110453"
"24406","NM_012572"
"24406","NP_036704"
"24407","NM_031508"
"24407","NP_113696"
"24408","NM_001270602"
