Sample,Time,Subject,0.4425/385,0.4498/625,0.4711/463,0.4715/659,0.4766/757,0.4772/675,0.4781/591,0.485/736,0.4887/223,0.489/699,0.4891/691,0.493/654,0.4941/925,0.4943/787,0.4971/637,0.4972/689,0.5047/627,0.5058/835,0.5327/267,0.5438/445,0.8564/715,1.0767/403,1.1583/767,1.1625/699,1.3234/331,1.3318/309,1.4087/417,1.4112/485,1.5491/683,1.8172/475,1.8563/721,1.8763/813,1.8927/853,1.944/1044,1.9734/851,1.9754/783,1.9887/474,2.6085/452,2.6114/520,2.6882/827,2.7608/837,2.7725/478,2.7851/1139,2.7863/1062,2.7865/1027,2.8595/927,2.8615/919,2.8641/987,2.8743/955,2.9488/1060,3.0263/811,3.0321/869,3.0641/1042,3.108/897,3.1514/919,3.1522/851,3.1578/841,3.1586/987,3.1656/517,3.2501/568,3.3406/1074,3.4112/898,3.4352/728,3.4383/660,3.4422/926,3.4428/1019,3.4435/951,3.4459/837,3.7057/658,3.733/704,3.7339/636,3.7992/756,3.8778/851,3.916/782,3.917/850,3.9806/473,3.9807/722,3.9862/634,4.0271/805,4.0289/873,4.2076/873,4.2116/941,4.2159/784,4.2164/1028,4.2193/852,4.2229/920,4.2231/1096,4.2912/664,4.3148/653,4.3965/1116,4.4961/849,4.4984/917,4.4995/902,4.5023/828,4.5031/896,4.5942/1162,4.6889/1164,4.6892/944,4.6905/1022,4.6908/954,4.6918/971,4.6923/1012,4.694/927,4.6965/76,4.6972/794,4.6984/812,5.5282/820,5.5812/761,5.6299/960,5.6317/1164,5.6387/1086,5.6766/994,5.72/1012,5.7243/614,5.7927/839,5.7962/890,5.8357/974,5.8564/431,5.8801/952,5.8858/979
S3T2,2,S3,189.45,173.31,153.14,617.95,129.78,159.57,5559.12,205.91,163,194.39,170.78,104.28,260.6,88.63,548.31,134.34,162.77,556.08,455.79,695.51,39.86,151.2,6.13,56.06,84.91,496.76,786.8,99.06,39.4,105.12,2354.4,34.3,465.8,366.43,53.35,0,509.26,1064.74,112.44,104.1,1134.37,91.59,110.63,107.15,167.53,99.33,346.66,95.05,485.81,85.28,54.91,445.43,575,67.7,385.2,2450.82,136.36,87.19,83.57,130.89,291.5,132.34,312.3,2200.51,41.01,37.75,216.61,211.05,1471.35,578.49,4011.67,620.18,207.43,3985.17,614.31,625.03,382.59,2496.34,5120.41,791.84,2193.22,333.39,6445.18,365.86,1098.49,276.3,76.15,420.04,97.18,552.55,1275.96,266.45,139.01,2242.83,520.66,743.45,632.62,1012.73,5546.03,17446.09,524.21,336,286.99,1189.4,1725.49,710.9,61247.66,6772.01,23394.48,100.4,38.99,11.34,455.17,493.82,1986.32,6068.52,1672.55,697.48,2711.25,1500.56
S3T3,3,S3,122.79,252.14,112.76,400.94,94.86,91.78,3692.11,141.89,129.79,102.03,100.7,67.51,134.18,59.44,334.52,108.23,100.36,316.35,511.05,698.74,54.06,127.14,11.34,89.28,84.49,478.09,631.36,63.82,45.13,102.3,1268,72.96,397.83,109.74,38.37,127.24,305.2,500.41,75.98,140.5,923.03,36.16,65.36,66.4,120.57,73.61,236.78,51.9,371.02,85.38,125.55,443.37,521.97,86.19,393.69,2663.1,74.08,68.32,139.94,41.09,198.69,101.92,124.59,1050.84,15.22,23.37,136.97,125.07,690.58,250.85,1715.8,240.24,106.59,1825.11,310.76,803.03,137,1205.72,1018.51,176.05,993.02,170.02,2829.17,180.92,552.08,126.36,0,176.47,61.95,202.69,484.81,97.43,0,1051.88,241.52,355.1,402.44,695.51,3441.47,9055.59,300.06,218.47,246.6,379.52,1025.1,431.69,43881.88,4709.65,19815.53,277.05,154.47,61.74,334.37,384.85,1216.08,3966.78,943.93,320.96,2548.44,1197.15
S4T0,0,S4,212.02,123.96,171.54,815.2,128.26,188.64,6841.99,292.42,99.47,225.12,282.39,155.77,282.32,94.77,898.44,199.46,196.55,699.94,189.08,50.67,0,60.43,14.68,66.8,0,41.64,318.1,0,33.32,45.91,243.7,68.65,0,0,0,86.85,196.24,207.34,20.8,128.55,611.03,8.02,23.64,0,40.66,39.17,141.49,0,185.11,95.13,101.46,557.61,386.25,126.94,330.58,2073.1,84.66,61.8,124.96,28.9,249.74,126.42,140.38,1142.78,48.55,35.42,223.65,188.01,691.1,260.06,1731.78,304.03,136.42,1313.55,197.02,481.55,158.67,1059.87,1232.66,227.51,854.69,126.36,2407.31,160.52,428.69,92.99,32.51,189.47,0,11.54,528.35,115.46,34.2,865.43,228.27,0,297.94,513.6,2732.02,7284.73,236.07,193.37,205.63,180.04,740.96,281.14,39638.47,3807.03,17735.2,337.83,159.6,94.07,316.1,99.46,1168.72,4109.27,803.6,531.31,2094.26,1133.83
S4T1,1,S4,243.48,96.93,150.37,696.85,161.38,195.08,6461.22,235.44,205.28,223.14,269.96,129.85,234.27,83.23,738.24,176.96,186.78,651.51,365.77,398.54,198.75,310.26,0,251.06,103.34,795.8,1845.83,196.64,213.58,238.29,748,335.14,524.46,394.17,69.22,416.48,415.26,463.54,66.18,350.19,1614.71,46.09,130.06,108.36,171.07,115.12,276.9,66.58,490.45,318.47,548.22,2412.99,616.04,433.38,635.93,4122.95,160.46,83.3,203.18,26.41,1130,427.97,121.75,1003.32,124.74,184.12,1038.6,499.92,636.74,233.96,1601.15,223.98,286.02,1256.04,180.11,810.27,153.71,939.64,1346.32,233.12,830.02,133.66,2195.19,607.89,356.89,96.63,113.96,155.19,0,55.76,421.05,85.26,25.85,768.35,186.04,132.09,289.85,432.06,2477.42,6963.19,238.54,171.08,201.31,249.04,615.26,319.42,35567.84,3510.16,17122.91,404.3,223.3,88.03,259.85,194.14,1210.79,4078.31,661.37,456.78,2093.9,1122.5
S4T2,2,S4,188.42,118.7,163.49,611.31,119.12,197.85,5273.43,219.94,187.58,161.06,197.44,114.59,234.3,85.93,463.41,154.38,156.6,531.35,487.14,628.26,59.19,140.38,0,45.15,96.18,468.86,749.95,89.6,0,99.96,2252.71,0,414.07,321.48,0,82.46,495.4,1099.95,120.63,88.71,1166.86,98.17,108.29,119.97,175.87,107.4,283.78,90.85,470.56,66.39,0,366.82,494.36,62.07,386.92,2380.27,112.28,78.78,121.74,109.53,245.45,114.19,301.98,2209.05,44.28,0,173.48,216.23,1386.18,549.73,3773.77,620.8,185.43,3967.45,667.5,592.49,337,2489.15,4854.47,793.88,1939.08,331.31,6178.53,375.73,1037.07,231.75,69.98,407.49,81.57,509.41,1169.97,247.56,147.44,2122.48,494.83,681.02,640.17,991.82,5221.05,15917.97,503.83,309.09,315.84,1372.94,1696.81,726.72,58866.84,6067.46,23329.2,92.82,35.36,0,469.04,470.18,1929.74,5820.42,1565.7,705.51,2632.24,1454.01
S4T3,3,S4,138.91,234.54,116.06,354.28,96.73,103.8,3506.74,134.55,126.18,116.06,133.91,59.92,174.1,72.76,329.66,101.7,131.81,343.56,549.19,660.88,62.07,128.7,0,75.85,97.98,463.32,650.22,87.21,59.23,94.61,1331.04,92.93,381.57,166.23,32.96,116.23,299.04,529.81,58.87,118.92,964.04,39.81,78.92,53.58,107.02,85.14,268.7,75.55,402.38,100.8,105.14,486.45,485,77.11,410.52,2716.39,106.11,63.08,126.5,47.61,227.01,96.66,141.92,973.28,33.57,0,164.61,144.01,684.09,252.8,1783.68,272.84,0,1652.77,277.75,732.46,130.25,1194.96,1025.97,147.97,844.39,141.89,3016.4,186.19,551.11,118.67,29.97,152.24,57.03,183.32,476.34,105.37,0,1055.77,240.07,355.02,367.09,715.79,3453.78,10157.52,349.5,264.91,235.82,454.69,996.47,423.32,45018.28,4931.26,19363.4,270.03,180.46,84.3,299.69,363.24,1119.39,3945.26,924.47,350.86,2585.05,1226.68
S5T0,0,S5,241.59,146.33,198.78,909.08,177.26,262.23,5900.85,327.66,130.51,262.39,293.17,160.21,373.89,124.53,1143.02,275.09,270.89,702.41,262.12,68.13,98,90.27,0,71.43,0,45.41,441.2,58.48,57.83,75.75,137.57,102.58,0,23.43,0,116.03,243.45,215.56,25.44,106.18,174.13,8.94,0,29.5,25.22,21.42,92.6,47.13,183.41,86.85,125.46,526.54,306.43,124.42,290.03,2061.29,77.1,61.89,109.54,0,203.35,95.38,99.87,807.11,33.37,42.25,204.64,125.05,522.26,234.96,1539.61,202.94,104.86,1082.73,187.59,491.02,137.04,871.65,863.07,144.19,590.15,115.2,1839.54,183.7,384.04,86.13,41.29,132.21,0,0,402.31,86.54,0,781.78,212.88,0,301.13,472.7,2541.85,6435.14,231.83,203.45,211.05,194.46,608.99,232.07,50015.31,3947.25,17532.91,426.05,259.58,111.48,292.24,83.11,1180,4243.5,748.47,371.61,1431.19,762.12
S5T1,1,S5,192.95,109.1,161.53,792.05,134.94,222.68,7008.55,221.09,191.73,200.53,234.59,127.66,253.28,100.04,765.28,211.82,202.66,576.52,377.52,382.29,200.06,373.81,0,244.89,143.33,960.14,1970.61,184.69,209.63,198.71,823.62,295.6,540.3,418.76,68.89,395.57,423.12,567.29,74.85,344.59,1652.56,32.35,107.14,101.22,172.92,91.04,264.65,80.6,479.52,362.7,466.81,2102,602.8,374.66,535.81,3687.17,169.42,97.25,221.59,34.08,1052.06,355.37,121.84,1100.71,98.87,147.53,1018.08,442.82,658.6,241.33,1778.45,272.61,268.89,1429.4,218.93,839.61,187.17,1075.59,1578.97,275.11,843.65,174.25,2248.73,614.09,489.42,103.52,109.67,136.86,0,49.04,453.16,66.16,30.45,920.44,219.9,160.41,300.53,556,2718.5,7621.85,259.31,220.4,211.87,346.29,692.21,334.54,44164.25,4337.76,17663.86,415.83,256.82,103.42,294.77,215.49,1252.78,4485.31,763.32,325.07,2116.31,1137.97
S5T2,2,S5,214.74,178.69,247.61,650.85,149.39,185.3,5962.55,158.6,165.95,181.36,174.77,112.25,265.07,93.22,565.2,160.17,189.49,683.74,471.9,701.3,91.53,166.56,0,72.19,88.26,537.78,833.62,107.3,63.37,110.58,2340.5,79.02,475.86,350.55,60.93,166.71,465.09,990.69,140.72,134.45,1315.09,97.01,105.88,117.03,176.35,76.94,282.78,70.11,487.15,109.18,138.49,705.37,559.9,133.6,450.27,2879.91,153.94,80,105.27,136.81,414.05,181.25,288.97,2145.96,56.87,71.06,308.59,241.61,1277.4,559.38,4015.96,604.34,237.57,3973.18,578.75,669.86,281.57,2379.21,5525.93,877.91,2205.11,350.68,6716.22,666.17,1169.55,278.18,130.45,488.51,113.96,626.69,1245.16,225.35,188.84,2327.93,509.69,805.45,648.57,1276.68,6051.78,20131.33,598.75,402.65,305.97,1637.28,1764.68,748.74,64337.75,7051.5,26519.21,80.11,60.9,0,503.69,711.03,2228.81,6157.54,1904.74,994.2,3223.3,1636.57
S5T3,3,S5,98.69,233.61,122.94,386.48,134.12,99.44,3552.91,122.94,132.7,122.36,107.34,63.24,127.07,54.36,337.97,91.06,114.25,262.73,462.49,641.63,165.03,128.87,0,165.72,94.56,488.88,720.62,81.84,117.04,111.2,1270.54,105.93,356.66,158.45,61.67,257.36,278.63,549.57,57.54,158.42,940.92,40.19,59.71,83.61,104.56,86.8,190.98,37.21,439.87,144.84,178.44,610.44,580.66,72.59,420.87,2798.51,96.39,70.1,159.17,47.93,285.4,121.06,121.34,1044.78,23.21,17.53,223.5,184.2,705.68,241.9,1538.5,249.93,0,1602.14,262.48,723.01,122.2,1241.55,1223.09,197,881.12,165.69,2568.86,390.71,490.97,152.02,66.82,163.79,67.35,152.72,443.78,94.56,0,947.69,238.77,269.34,369.73,615.43,3126.46,9190,286.6,268.58,228.65,280.6,790.61,461.81,44537.81,4552.91,19316.28,303.36,207.7,83.93,292.42,380.48,1111.84,3636.49,845.74,263.21,2362.19,1157.57
