"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"PI 18:0/20:3_595","9174688.9765625","7941607.65625","6898468.6796875","6679596.015625","6663116.8046875","3.65503948125E7","3.4266452E7","3.14392445E7","2.865731828125E7","2.82230938125E7","2.659408109375E7","2.6298534671875E7","2.5084283046875E7","2.409732715625E7","2.3555072251921505E7"
"PI 18:1_20:2_596",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"79305.65432849855"
"PI 18:0/20:4_597","4.66085292E8","4.19806396E8","3.9643428E8","3.9022648E8","3.70676152E8","7.29992312E8","6.86025068E8","6.47362376E8","6.03686548E8","5.743095E8","6.96706068E8","6.71207852E8","6.46554196E8","6.1166E8","5.93059872E8"
"PI 18:1/20:4_598","1.8209757720850706E7","1.559503305893341E7","1.4140797618029146E7","1.111543668766009E7","1.252150569552757E7","3.631792037265333E7","3.381285463953676E7","3.0069562639112946E7","2.7057031895406917E7","2.4998311930765297E7","6.6654493702373914E7","6.341167704136379E7","6.134410841851564E7","5.551037563269352E7","5.40477685106202E7"
"PI 18:0/20:5_599","1491042.7166492965","1239970.6615698412","1250015.8194708521","875264.5817952502","1066666.4712068674","3638893.4313795273","3321364.4391641263","3098869.5431360556","2804511.097831107","2544847.652596467","3865346.2883501863","4090124.458636213","3810116.081484355","3848137.6904622107","3389476.7393797967"
"PI 16:0/22:5_600",NA,"283649.529496747",NA,"140064.91804466012","217735.39576556243","1153896.1959671443","580640.671299107","961261.692751","703429.1317619715","686689.7916382358","888276.5092759149",NA,NA,"606121.1768442658",NA
"PI 16:0/22:6_601","458794.2179751657","518957.3395616547","437774.240860325","511219.978515625","371029.1344196028","1021471.0354832215","914336.9382928998","967784.1517428175","817000.9123772965","681916.4620374527","337406.1453298363",NA,"498942.54327267804","465946.30981784174","425918.54241442657"
"PI 18:2/20:4_602","288035.2712826468","86048.03055553276","49712.830428737514",NA,"90561.20542414718","557452.0133449036","291999.4347758689","190778.92997456837","332465.2084374769","226662.5818126304","832746.9091342144","1284303.3081254412","172630.5148379903","749636.3198583977","614902.8505888305"
"PI 18:1/20:5_603",NA,NA,NA,NA,NA,NA,"36243.048806231134","70483.12287245797","34639.07059147652","63812.62802491688","72826.98850469945","268912.8168745588","523748.9028268317","85802.61641751061","134424.42926236792"
"PI 19:0/20:4_604","744789.232421875","652916.732421875","617072.212890625","555906.853515625","546955.294921875","1039046.453125","1023792.26953125","940644.7890625","820434.5390625","752972.20703125","2482000.6484375","2137406.5390625","2137101.1328125","1940008.4921875","1775854.5"
"PI 39:5_605",NA,NA,NA,NA,NA,"93861.10546875","90907.818359375","67253.6044921875",NA,NA,NA,NA,NA,"207791.9765625","232253.92578125"
"PI 19:1/20:4_606",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"233992.453125","267875.4765625",NA,NA
"PI 39:5_607",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2493209.0625",NA,NA,NA,NA
"PI 40:3_608",NA,NA,NA,NA,NA,"356940.74609375",NA,NA,NA,"327747.294921875",NA,NA,NA,NA,NA
"PI 40:4_609","544113.77734375",NA,"469044.86328125","451291.77966308594","430244.62109375",NA,NA,NA,NA,NA,"893388.6640625","874735.23828125","854127.314453125","846356.6806640625","687815.7333984375"
"PI 18:0/22:4_610",NA,"466659.158203125",NA,NA,NA,"1575703.5625","1382064.9140625","1273118.93359375","1104894.06640625","1077729.9609375",NA,NA,NA,NA,NA
"PI 40:5_611","451736.23046875","411211.51953125","343698.6044921875","265875.4423828125","251356.68701171875","1383521.28515625","1441802.64453125","1267807.9228515625","1080832.9951171875","1109081.05078125","1055186.8759765625","981357.689453125","1021402.78125","940611.802734375","901676.9462890625"
"PI 40:6_612","126558.22265625",NA,"93938.517578125","66395.787109375","53155.66796875",NA,NA,"130119.25","137156.9921875","94353.82421875","106911.490234375","122964.5234375","140607.6796875","96012.6796875","133368.6484375"
"PI 40:6_613",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"744631.75","650938.06640625","605767.306640625","611344.2421875","568539.576171875"
"PI 18:0/22:6_614","1232072.94921875","1105831.66796875","927628.5625","935968.390625","860368.73046875","3098637.96875","2645889.4453125","2371362.109375","2308663.84375","2109832.65625",NA,NA,NA,NA,NA
"PI 40:7_615","34234.21923828125","40065.984375",NA,"52686.6328125","32864.8349609375","124858.5859375","121195.5390625","110695.53515625","125472.58203125","80560.2890625","119833.27734375","146211.54296875","114243.259765625","73074.1474609375","81710.802734375"
"PI 42:2_616",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"101324.609375","89490.505859375",NA
"PI 42:5_617",NA,NA,NA,NA,NA,"60638.64794921875",NA,NA,NA,NA,"68596.6201171875",NA,NA,NA,NA
"PI 46:7_618",NA,"71845.912109375",NA,NA,NA,"228198.90625","186847.06640625","130371.3359375","126917.626953125","124078.21875",NA,NA,"166872.46484375","189451.953125",NA
