"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"PG 36:4_71",NA,NA,NA,NA,NA,"110595.49609375","88819.17578125",NA,NA,NA,NA,"101424.126953125","97314.31640625",NA,NA
"PG 38:4_72",NA,NA,"84489.548828125","62921.4609375","55864.755859375","125153.771484375","137920.1015625","80411.849609375","111413.349609375","74268.037109375","82681.4306640625","77263.185546875","67274.79296875","50925.7890625",NA
"PG 38:5_73","92673.7734375","96194.458984375","69543.9921875","83177.1708984375","77776.5908203125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG 18:1_20:4_74",NA,NA,NA,NA,NA,"315453.1015625","321680.875","227237.3203125","215625.38671875","194250.9921875","404084.40625","285261.6875","275186.4855640892","257464.2890625","245707.04621878837"
"PG 18:2_20:3_75",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38202.20974841075",NA,NA
"PG 17:5_21:0_76",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"30044.031906211618"
"PG 38:6_77","41431.0205078125",NA,"31307.52294921875",NA,"39614.248046875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG 18:2_20:4_78",NA,NA,NA,NA,NA,"168484.37957584142","150166.96484375","141057.578125","104143.99509244568","101613.9609375","111636.15625","143960.216796875","109241.529296875","77944.92578125","101977.3671875"
"PG 18:1_20:5_79",NA,NA,NA,NA,NA,"17404.925111658573",NA,NA,"15832.727563804332",NA,NA,NA,NA,NA,NA
"PG 38:7_80",NA,NA,NA,NA,NA,"105181.205078125",NA,NA,NA,NA,"67632.4375","65545.6865234375",NA,NA,NA
"PG 40:5_81",NA,NA,NA,"40558.2021484375",NA,"176041.25","100255.310546875","127144.58984375","112940.8359375",NA,"220997.6640625","160072.515625","128902.26171875","129964.08984375","154908.4453125"
"PG 40:6_82",NA,NA,NA,NA,NA,NA,"67239.857421875","73183.861328125",NA,"46420.8603515625",NA,NA,NA,"88117.4140625",NA
"PG 40:6_83","55124.5703125","55546.6220703125","59093.1025390625","73899.58203125","53806.890625",NA,"243069.375","177086.22265625",NA,"162917.703125",NA,NA,NA,NA,NA
"PG 18:1_22:5_84",NA,NA,NA,NA,NA,"210625.97862479588",NA,NA,"134330.58479260557",NA,"451630.3515625","407724.8515625","399087.0859375","362777.34375","366308.5546875"
"PG 18:0_22:6_85",NA,NA,NA,NA,NA,"39982.892468954116",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG 19:6_21:0_86",NA,NA,NA,NA,NA,NA,NA,NA,"15379.067551144444",NA,NA,NA,NA,NA,NA
"PG 18:1_22:6_87","611999.8430849456","526767.2595888809","467117.31007142575","374652.1942487569","359323.425732385","2299395.869200746","2193194.521243596","1801751.1696509342","1641634.2905382914","1444482.077929925","1753831.7111891988","1562942.578992661","1500028.0841218228","1344090.0123650434","1290526.2798985553"
"PG 18:2_22:5_88","113301.38347755441","76922.9103329941","82147.4594598243","56912.31405202438","96066.82622073997","362381.0682992539","300858.205318904","326144.3147240659","169290.30321170864","231957.05488257503","425878.2263108013","397781.241319839","464081.4158781773","309279.01107245655","295149.2826014447"
"PG 18:2_22:6_89","623676.921875","523500.109375","496299.078125","430390.1484375","413824.0","2026703.375","1758781.125","1563348.53125","1256594.09375","1192387.09375","968977.71875","907400.90625","884175.9375","775766.765625","707870.078125"
"PG 42:8_90",NA,NA,NA,NA,NA,"73444.49609375",NA,NA,NA,"79093.05078125",NA,NA,NA,"53136.2841796875",NA
"PG 42:9_91",NA,NA,NA,NA,NA,"96283.173828125","156636.431640625","50735.4755859375",NA,NA,NA,NA,NA,NA,NA
"PG 20:4_22:6_92","205999.109375","164344.94140625","137553.5","115357.908203125","120917.1875","341349.390625","339775.7265625","278475.5625","210600.40234375","225968.8515625","283089.03125","217045.83203125","211303.99609375","186409.0078125","162518.49609375"
"PG 41:7_93",NA,NA,NA,"947917.96875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PG 41:8_94",NA,NA,NA,NA,"42016.3515625",NA,NA,NA,NA,NA,NA,"118151.38671875",NA,NA,NA
"PG 43:9_95",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"289103.625","317398.1953125",NA,NA,NA
"PG 22:5_22:6_96","302368.859375","261683.2734375","225462.23046875","215772.125","231488.296875","620905.3125","497586.34375","458795.421875","386363.890625","347720.90625","1289328.90625","1106929.25","1045107.25","927839.21875","885161.90625"
"PG 22:6/22:6_97","2934396.859375","2355237.59375","2142501.234375","1950987.3359375","1980381.328125","4752814.75","4151302.734375","3645751.40625","3200556.46875","2744122.84375","3249018.859375","2988760.3125","2820194.453125","2542640.640625","2320132.59375"
"PG 47:8_98",NA,NA,NA,NA,NA,NA,"116041.42578125",NA,NA,NA,NA,NA,NA,NA,NA
"PG 48:11_99",NA,NA,NA,"96626.91162109375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"P-PC 20:0_100",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"75553.90307617188",NA,NA,NA,NA
"P-PC P-4:0_16:0_101",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53392.62060546875",NA,NA
"P-PC P-16:0/18:0_102",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1736692.265625",NA,"1584307.703125",NA,NA
"PE 21:0_103",NA,NA,NA,NA,"49537.5869140625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 12:0/12:0_104","3.750483890625E7","3.23885085E7","3.05212839375E7","2.79925428125E7","2.699295446875E7","7.4444065625E7","6.7264613625E7","5.9142493875E7","5.4675057375E7","4.9545125E7","3.32457874375E7","3.3453107703125E7","3.2703034625E7","3.0212704E7","2.8089784375E7"
"PE 32:0_105","193570.494140625","175795.87890625","119475.1796875","144697.08984375","82300.6025390625","370095.015625","335535.3671875","328939.25","225048.34765625","246050.8125","626782.203125","638912.75","557737.75","526870.578125","480964.6328125"
"PE 32:1_106","315098.0703125","176717.146484375","201512.7890625","203640.1640625","166285.3828125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 16:0/16:1_107",NA,NA,NA,NA,NA,"1313717.15625","1242546.8915739143","1158848.0","967176.9211899922","894659.6087848668","2093746.3390498627","2279142.4375","2134230.875","1916802.634673916","1706676.3569005341"
"PE 14:0_18:1_108",NA,NA,NA,NA,NA,NA,"34074.79592608573",NA,"15496.766310007784","20664.281840133284","90077.22345013729",NA,NA,"68796.99032608389","62612.143099465815"
"PE 32:2_109",NA,NA,NA,NA,NA,"94391.833984375","70749.32421875","50199.6806640625",NA,NA,"95688.0673828125","113326.607421875","93516.34765625","111292.06640625","80593.1259765625"
"PE 33:1_110","63406.39453125","33843.2373046875",NA,"46678.9931640625",NA,"112244.9140625","131984.333984375","83315.04296875","78209.59033203125","96599.974609375",NA,"188986.08203125","171811.80859375","191175.0234375","234211.65234375"
"PE 33:2_111",NA,NA,NA,NA,NA,"104595.248046875","101554.2265625",NA,NA,NA,"110643.076171875","134837.447265625","161022.37890625","114536.12890625","53585.744140625"
"PE 34:0_112",NA,"263209.890625",NA,"135344.109375","150610.75390625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:0/16:0_113","143757.39105132036",NA,"141564.18124770996",NA,NA,"388079.1923263131","345996.54452063394","319585.4860637078","274967.1407877441","311347.9721588583","330157.94282694685","271960.76664367237","416361.25597779924","217668.92012818367","345599.0083188113"
"PE 17:0/17:0_114","31421.718323679637",NA,"34958.435939790055",NA,NA,"112172.63579868685","108082.91641686611","117317.7483112922","67805.03108725593","61786.93409114166","46105.22123555319","69738.45991882762","47296.82995970074","41264.99393431633","35763.71043118869"
"PE 16:0/18:1_115","1.2250796938123854E7","1.0106043997704875E7","9190535.797589244","8836504.359375","7850628.2006872315","2.325679730536586E7","2.1468786888745427E7","1.9386396793430906E7","1.7426494744940013E7","1.6204171655754974E7","4.824709042176861E7","4.615758376050906E7","4.576092575E7","4.085800156849042E7","3.906348127948396E7"
"PE 18:0/16:1_116","242163.81187614624","205607.5647951251","251979.35866075597",NA,"230492.22118776807","1096002.6321341414","1199600.9237545726","1009910.5190690919","937929.942559988","828900.906745025","1110710.9532313922","1037343.3644909441",NA,"1018299.5565095741","1002569.47051604"
"PE 16:0/18:2_117","6.40484705E7","5.72572465E7","5.3146452375E7","5.00858755E7","4.7649729E7","1.33758896E8","1.24654164E8","1.14765263E8","1.0590673E8","9.7698065E7","1.156197363436669E8","1.1109488393561898E8","1.064895357300194E8","1.002880755106873E8","9.554630099328978E7"
"PE 16:1_18:1_118",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2972041.1563331117","2516246.5643810225","3222844.769980598","2736918.489312693","2716610.50671022"
"PE 16:1_18:2_119","958010.1593236263","635397.2122928547","641600.1870291737","795195.3814384667","462290.44195194397","4476663.56633356","4123630.05429673","3699138.674021915","3118494.623123781","2680332.452634313","5772925.217470184","5755026.7868508715","5403547.079280583","4726401.44839289","5075388.5890705325"
"PE 16:0/18:3_120","682030.5516138738","810937.5572383953","655934.5668770763","443691.70059278334","677603.058048056","3264249.23054144","2444378.0863282694","2351320.4099624595","1777724.4784387196","1754951.2583031869","3327732.907529815","3506327.535414754","2706970.483219417","2836244.185396171","2769784.192179467"
"PE 35:1_121","302734.390625","289168.9296875","233929.671875","222813.140625","200472.92578125","484018.46875","395112.8046875","377561.40625","339360.46875","310631.296875",NA,NA,NA,NA,NA
"PE 17:0/18:1_122",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"589954.8142947768","496170.66653162165","548517.5793470945","482447.12562499836","421824.4380070968"
"PE 16:0/19:1_123",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"345084.40342924854","309294.22682629665","295505.4206529055","243827.71812500167","241775.22849453255"
"PE 18:0/17:1_124",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"38248.56352597466","67298.7316420817",NA,NA,"67050.48817345877"
"PE 16:1_19:0_125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"11379.876574911848"
"PE 17:0/18:2_126","1528194.4886820992","1253758.1826487167","1174893.5153212503","1161189.4709423773","1035437.6366692334","2205053.4230468716","1986730.0684299786","1725120.1131362512","1439553.318396732","1498880.694587226","2043861.0443952198","1920294.4473053555","1743242.6469825364","1740878.8923765586","1529048.198814075"
"PE 17:1_18:1_127","50998.17928665082","47148.463835658345","65413.6311631247","61186.622807622676","49245.55278389153","127842.96757812843","128210.66985127158","132946.50600437354","121049.24098424893","73841.03588152405","232103.09622978017","272301.36910089466","327384.57176746347","182110.76781651477","214794.13712342485"
"PE 16:0_19:2_128",NA,NA,NA,NA,NA,NA,NA,NA,"22338.413275269202",NA,NA,NA,NA,"44135.46090067653",NA
"PE 35:3_129","137835.76171875","117607.2763671875","108324.37890625","89145.72265625","84067.130859375","265902.921875","207291.28515625","257265.62890625","262622.2890625","183033.546875","383618.96875","374673.40625","404124.3515625","268173.916015625","304703.0078125"
"PE 35:4_130","56432.6953125",NA,"57348.833984375","62575.21484375","57549.9921875","134733.380859375","131352.17578125",NA,NA,"66939.521484375","123799.052734375","97860.955078125","137733.0390625","108787.4921875","72549.7392578125"
"PE 36:0_131",NA,NA,NA,NA,NA,"64588.107421875",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:0/18:1_132","3983592.539266453","3057990.8857880654","2834058.853393649","2763928.510710608","2242298.2064929814","7813436.019744862","7234425.974512262","6216866.625684454","5936576.229503594","5236953.0199059695","1.0602172812914725E7","9721222.289700124","9498981.293975284","8019876.352493829","7894240.469802807"
"PE 16:0/20:1_133","529756.7732335465","404900.9735869345","307702.79504385096","305415.5361643915","293097.231007019","863565.6990051377","774479.9786127378","686582.3899405466","564678.0673714051","557224.5113440302","1523377.5620852725","1497629.8977998758","1327561.737274715","1231695.9600061718","1126212.311447193"
"PE 18:0/18:2_134","6.551551510889757E7","5.7306067068478934E7","5.392719943261884E7","5.092978286525786E7","4.7382399860958785E7","1.2042070440240565E8","1.1090701832723981E8","1.0025246093584557E8","9.03809074466064E7","8.599657716632363E7","8.33820925184833E7","7.902233096581896E7","7.70439995783777E7","7.273665185311042E7","6.836476977852462E7"
"PE 18:1/18:1_135","4080226.6411024304","3631889.4315210683","3249021.067381156","2803375.884742143","2945969.0140412147","6055263.0975943515","6645911.67276019","6323081.064154432","5672178.55339359","4944663.833676367","1.7193415481516697E7","1.6597344534181053E7","1.721941342162231E7","1.4412830396889579E7","1.4041365971475367E7"
"PE 18:1/18:2_136","4.01472280524789E7","3.678805980620984E7","3.334467302758E7","3.1783854082041934E7","2.9715497438595787E7","8.264897284735245E7","7.61751844447521E7","6.890247940804121E7","6.39245601842862E7","5.744849607500375E7","9.683317650842299E7","9.134520650688574E7","8.956453489019358E7","8.224390525490198E7","7.861667249306919E7"
"PE 16:0/20:3_137","5541007.350539127","4949872.443790156","4600658.472419996","4512072.355458063","4113258.8739042124","1.2764808402647553E7","1.206422530524791E7","9657053.091958798","8713792.065713799","9034651.17499625","1.3609333491577018E7","1.3295204243114263E7","1.2858898859806422E7","1.1788629745098028E7","1.0754802756930815E7"
"PE 18:0_18:3_138","693332.2219819633",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:2/18:2_139","5663059.067315278","4792962.376814046","4343034.451845209","4202217.174108487","3956933.513864565","8827696.996673483","8286115.275333392","7395431.229856429","6705098.116274535","5989077.804191878","8331832.5803437885","7152175.679318915","7108956.045945049","6540010.24353229","5747878.371988712"
"PE 18:1/18:3_140","620735.6826847228","569565.3888109545","523880.29815479054","377713.1071415139","354148.56426043506","1150697.7334086504","1245330.5371666073","900233.6451435711","805255.8056004657","837619.102058122","1609508.4223260987","1740635.214256736","1734970.747948809","1399406.9832903645","1572305.1635077833"
"PE 16:1/20:3_141",NA,NA,NA,NA,NA,"302508.22433473775",NA,NA,NA,NA,"389261.27858011355","355606.4413847215",NA,"337332.64817734534","333759.3763516601"
"PE 16:0/20:4_142",NA,NA,NA,NA,NA,"197529.4205831275",NA,NA,NA,NA,NA,"229569.6025396278","247023.9561061418",NA,"245065.83815184457"
"PE 16:0/20:4_143","1.349096535E8","1.210728145E8","1.137243355E8","1.065255755E8","1.023812265E8","2.57097849E8","2.37963127E8","2.19986694E8","2.02498889E8","1.88073339E8","2.38182982E8","2.25527474E8","2.19383011E8","2.0619066E8","1.96725354E8"
"PE 18:3/18:2_144","351810.140625","330320.5625","305467.8828125","263743.125","296039.91015625","524941.890625","517001.796875","437133.4375","390683.4609375","348815.5703125","487627.2330050392","404459.78914824274","435657.8515625","384212.9765625","341828.7734375"
"PE 14:0_22:5_145",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"10546.117101757283",NA,NA,NA
"PE 16:1_20:4_146",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6188.220119960825",NA,NA,NA,NA
"PE 16:1/20:4_147","2469031.7245604205","2173516.8746464388","1982394.370134158","1671195.117842501","1555452.2771496784","1.3897086780327639E7","1.2632878785962524E7","1.0716459940047912E7","9461679.372637736","8998509.513336197","1.5471448491664996E7","1.4248067455483569E7","1.402742065936425E7","1.2001424566539396E7","1.1086914048290815E7"
"PE 16:0/20:5_148","1388147.9629395795","1180273.523791061","989427.895490842","957119.8017207257","929241.6408190713","6009468.4696723595","4713874.589037476","4311543.559952088","3873279.0336122634","3417596.2679138035","2913777.7583350036","2538951.5757664316","2302851.62188575","2526822.120960605","2396058.1079591853"
"PE 18:2_18:3_149",NA,NA,NA,"40839.830436773256",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 36:5_150",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"70526.8857421875"
"PE 36:6_151","39754.74267578125",NA,NA,NA,"30570.98193359375","119195.28515625","101644.6357421875","147225.53662109375","75489.2734375","48379.8876953125",NA,NA,"112849.1796875","209804.77734375","75085.92578125"
"PE 14:0_22:6_152",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"141651.529296875","143942.125",NA,NA,NA
"PE 37:1_153",NA,NA,NA,NA,NA,NA,"47314.9150390625",NA,NA,NA,"60518.791015625","74153.7255859375","57434.419921875","64944.234375","62793.947265625"
"PE 37:2_154","234178.98828125","219510.359375","203597.234375","151186.751953125","171178.822265625",NA,"397746.421875",NA,"336576.265625","254047.5078125",NA,NA,NA,NA,NA
"PE 19:0/18:2_155",NA,NA,NA,NA,NA,"384669.4882378614",NA,"313435.6888970342",NA,NA,"513300.8418554583","461122.98233603325","535590.6884118337","408230.6663846725","462115.6194045744"
"PE 18:1_19:1_156",NA,NA,NA,NA,NA,"48665.29688614334",NA,NA,NA,NA,"76929.48626954171","69323.11141396672","60700.03033816634","87137.50549032753","20776.4274704256"
"PE 18:0_19:2_157",NA,NA,NA,NA,NA,NA,NA,"31127.873602965767",NA,NA,NA,NA,NA,NA,NA
"PE 17:0_20:2_158",NA,NA,NA,NA,NA,"15240.652375995218",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 37:3_159","146865.90625","60411.2783203125","66153.326171875","52460.1396484375",NA,"592250.703125","203228.3125","209125.09765625","214732.83203125","214012.609375","296910.6875","290248.08984375","341503.26953125","521739.3984375","484006.0078125"
"PE 37:4_160",NA,NA,NA,NA,NA,NA,NA,NA,"66001.71337890625",NA,NA,NA,NA,"70165.0927734375","64529.85595703125"
"PE 17:0/20:4_161","5594310.265625","4981772.328125","4577004.1875","4142118.34375","3851983.375","7751736.75","7098496.125","6361292.0","5582179.359375","5312353.640625","8038585.96875","7621927.90625","7355281.9375","6688462.09375","6330032.21875"
"PE 37:5_162","218047.57421875","239534.3671875","229217.79296875","207719.05859375","169259.19140625","564032.234375","511202.5078125","505600.921875","449827.40625","365277.015625",NA,NA,"708053.15625",NA,NA
"PE 17:1/20:4_163",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"800337.8283513435","723776.765625",NA,"687315.325206593","644781.78125"
"PE 17:5_20:0_164",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"37293.562273656455",NA,NA,NA,NA
"PE 17:0_20:5_165",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"13039.315418407035",NA
"PE 15:0/22:6_166","620247.40625","553995.828125","532337.765625","463360.69786141417","414281.6953125","768853.3099522166","715911.21875","623056.234375","552199.296875","482689.65625","815310.140625","809170.71875","677593.7888718537","608039.328125","595946.1267302593"
"PE 16:0_21:6_167",NA,NA,NA,"18205.536513585856",NA,"28348.846297783515",NA,NA,NA,NA,NA,NA,"17101.367378146213",NA,"16026.373269740745"
"PE 38:1_168",NA,NA,NA,NA,"142947.333984375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:0/20:1_169","232444.66796875","186079.9140625","172417.55859375","166875.296875",NA,"444774.5390625","435089.4036793612","392312.171875","330090.421875","311986.3046875","394598.609375","352931.2364373991","329455.359375","294417.0","310222.9773593659"
"PE 20:0/18:1_170",NA,NA,NA,NA,NA,NA,"14434.182258138842",NA,NA,NA,NA,"13271.537000100849",NA,NA,"8475.038265634137"
"PE 18:0/20:2_171","470598.57388286485","469729.330193228","321755.3883214379","400863.78681791807","401389.4685933258","887965.5429644823","800577.609411821","746106.5558294216","567672.7326967887","454225.1429557186","741097.6322265116","687758.9618880145","713199.4697575063","578830.0945962301","568612.8127041514"
"PE 18:1/20:1_172","238972.95586456932","233397.76339176373","167346.3081828881","139123.89616651463","172484.8439066742","490560.69912665244","426662.6528316906","347355.18186774827","323089.2607769243","269925.328156598","873201.695722918","817550.2376227106","770107.4238673946","696559.2921225199","685721.7792638879"
"PE 20:0/18:2_173","37075.83451037833","33171.699383758314","23746.963651924016","19049.141234317285",NA,"94880.67783074014","78744.94088148855","81624.30136533015","46176.37371378703","26136.923418933315","96032.81658182047","110937.85517677487","73876.80950009903",NA,"52635.90412571071"
"PE 18:0/20:3_174","9700452.28125","8622199.53125","7822918.046875","7252603.359375","6285378.9765625","2.1850877875E7","2.046248325E7","1.78510506875E7","1.554683969720975E7","1.479906990625E7","1.6270369707498228E7","1.5156256008605402E7","1.5223008253166405E7","1.3886932842266584E7","1.2102007559147442E7"
"PE 18:1/20:2_175",NA,NA,NA,NA,NA,NA,NA,NA,"365870.98048384814",NA,"381899.8183226076","359518.25710903195","347566.9968335949","329376.1264834148","277197.8666076564"
"PE 20:1/18:2_176",NA,NA,NA,NA,NA,NA,NA,NA,"646761.8535564034",NA,"372172.81792916317","434334.07803556666",NA,NA,"336453.0117449008"
"PE 38:3_177",NA,"29764.910400390625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:1_20:3_178",NA,NA,"1330991.869066056",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:0_20:4_179",NA,NA,"552948.1598698217",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 16:0_22:4_180",NA,NA,"288656.95305519406",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:2_20:2_181",NA,NA,"215211.64300892813",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:0/20:4_182","3.53375008E8","3.16589354E8","2.96203586E8","2.8268119E8","2.70048734E8","5.13537156E8","4.60342648E8","4.22333622E8","4.01519128E8","3.63486382E8","4.31905872E8","4.02023686E8","3.91048888E8","3.76853876E8","3.48067356E8"
"PE 18:1/20:4_183","1.1805695691119891E8","1.0238414624565366E8","9.643047080714394E7","9.231216204141247E7","8.718346384765859E7","2.2306370034184965E8","2.0852920192166832E8","1.9291902275297326E8","1.7392302439193144E8","1.60266545492694E8","2.3587807004781425E8","2.2525018232568926E8","2.1579274562847385E8","2.034480631007494E8","1.9110048598830512E8"
"PE 16:0/22:5_184","9671948.08880108","8220051.065035486","7878482.192856057","7512876.958587527","7164555.6523414105","2.4546148658150326E7","2.1725100078331687E7","1.9546306247026715E7","1.7748142608068544E7","1.5997340007306011E7","2.7026458952185757E7","2.5973085674310725E7","2.3985186397998214E7","2.1610009899250608E7","2.156567382531819E7"
"PE 18:0/20:5_185",NA,"2605033.1893108524",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"3037955.9735279256",NA,"2997207.186376683"
"PE 16:0/22:6_186","2.6000092906136617E8","2.3819806152517492E8","2.2093635142270347E8","2.1399522334034812E8","2.045363548793181E8","4.132039637773188E8","3.8947511792122304E8","3.6217284786736035E8","3.3413672344362247E8","3.1640003590361494E8","3.176415979578225E8","3.01347325681567E8","2.9434723567099684E8","2.756141447827501E8","2.647722390647717E8"
"PE 18:2/20:4_187","7124632.304739676","6207128.516071262","5801252.851063067","5227643.862815972","4789932.236807971","1.0029296585618459E7","9207841.346885463","8080177.085939459","7074467.426611875","6584170.404296399","1.1590097808013137E7","1.0111078698836017E7","1.0224401549018353E7","9445720.871296149","8313305.031412095"
"PE 18:1/20:5_188","808371.2276441364","504159.8650038348","495634.63248345465","480107.90621091216","453044.3369989433","1817698.2933128017","1738944.0443914984","1570057.4842001656","1412769.0672656628","1228137.6920886803","1292164.1091643774","1303282.21334694","1121576.5924847594","1029517.1584537526","1177017.9350661936"
"PE 16:1/22:6_189","2000887.0593452347","2165853.126229574","1703755.7574932647","1541866.919124419","1301332.6115344826","1.0826952681965854E7","9110115.268711114","7653588.345171197","7230929.8125","6358914.1293422915","8888846.007630913","8380599.36807981","8157039.418397766","7603264.218476485","7316255.754058707"
"PE 18:3/20:4_190","342982.1461953353","374845.167509627","271710.89867261006","217013.40365308244","243507.8256782526","581575.3492841468","402807.85769026953","564628.6548288026",NA,"288784.80815770815","610360.5548690878","247941.13192018948","652279.487852234","323979.03152351413","277252.2146912935"
"PE 18:2_20:5_191","75471.21633442989","100050.67501079943","49133.45327440673",NA,"37709.50028726471",NA,"168016.8110986138",NA,NA,NA,NA,NA,NA,NA,NA
"PE 15:6_23:1_192",NA,NA,NA,"62332.47664007907",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 12:5_26:2_193",NA,NA,"18287.472590968715",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 38:7_194",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"55455.5361328125",NA,NA,NA
"PE 39:3_195",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"61272.0068359375",NA,NA,NA
"PE 19:0/20:4_196","1552190.9921875","1336733.1796875","1205282.2734375","1038080.1967773438","1019453.927734375","2631539.296875","2077519.390625","1824851.37109375","1592445.1484375","1495795.0390625","3505751.578125","3302418.34375","2948534.96875","2605288.421875","2587319.2734375"
"PE 39:5_197","184496.033203125","138018.35546875","106866.37890625","118266.857421875","108280.42578125","396332.171875","352938.8984375","302659.3828125","266812.7890625","238320.13671875","825603.90625","491191.53125","445763.984375","1039227.0703125","414678.8203125"
"PE 39:6_198",NA,NA,NA,"49710.427734375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 17:0/22:6_199","2697851.515625","2364516.5625","2086217.37890625","1994464.1640625","1753258.19921875","2577070.6796875","2370016.2265625","2276015.9375","2011976.2890625","1741162.7734375","2146977.625","1876425.78125","1813132.9935713697","1701609.140625","1658253.7578125"
"PE 17:1_22:5_200",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"27683.193928630455",NA,NA
"PE 39:7_201",NA,NA,"246544.86328125","202039.3046875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 17:1/22:6_202","281052.25","263693.4756222846",NA,NA,"212047.13671875","475587.125","427258.34375","394129.96875","323493.8705539401","255511.07421875","520696.15625","432741.890625","481164.5","278709.4366101354","352299.84375"
"PE 21:6/18:1_203",NA,"8944.680627715425",NA,NA,NA,NA,NA,NA,"31719.957571059855",NA,NA,NA,NA,"122681.25088986456",NA
"PE 40:2_204",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"56260.23828125",NA,NA,NA,NA
"PE 40:3_205","53861.5302734375",NA,NA,NA,NA,"149795.59765625",NA,"59524.720703125","38357.882080078125",NA,"88733.13623046875","86077.4189453125","101432.392578125","72350.677734375","92773.23828125"
"PE 18:0/22:4_206","2108003.048828125","1694561.01953125","1963365.4375","1477464.09765625","1340610.3515625","5048330.49683633","3758972.0835048817","3068738.309944613","3058178.1875","2456171.650103659","4095426.0789346504","3858410.5932320924","3711613.7095924406","3439046.6098185526","2977251.81168877"
"PE 20:0/20:4_207",NA,NA,NA,NA,NA,"370217.56566367013","165565.46727636838","261479.5338053871",NA,"115583.19364634091","313959.8585653497","300559.61575228244","285773.5479529774","237061.96049394758","220202.1901736118"
"PE 20:1/20:3_208",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"131219.50807958175",NA,"64715.178253099126"
"PE 18:1_22:3_209",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60792.37457201894"
"PE 18:0/22:5_210","4320926.389342375","3442958.3408659203","2996257.8445785544","2789193.4623556254","2988627.7606437346","1.369324506230022E7","1.2701369327589918E7","1.0554733155883852E7","8875761.000544056","7904773.76415751","1.0742020087061487E7","1.0126495091674482E7","9509174.316517815","9713298.331897728","7877214.992272364"
