name,id
C15651,126797
C00735,126134
C00460,126551
C00473,127289
G00010,127262
C02987,126415
C00080,126945
C01380,126281
C02714,126801
C07092,126214
C17552,126980
C05579,126536
C18202,124048
C16476,126186
C14823,125989
C00077,127748
C01112,127713
C00279,125790
C01251,126485
C06102,126265
G00034,124163
C03231,126746
C01197,127322
C05449,126918
C00381,125837
C19846,127462
C03427,127377
C01617,127629
C05445,126123
C01083,127534
C06397,125951
C05307,127073
C06509,126411
C05467,126117
C00184,127011
C00251,126925
C12137,127354
C05379,127247
C00459,126542
G10599,125850
C02512,126323
C01250,126777
C15778,126546
C06001,127022
C04314,126228
C00829,126229
C00448,126961
C05270,126034
G00007,125848
C07212,126196
C04666,126344
C06148,126452
C00979,127217
C06555,126625
G13043,127491
C00253,127677
C00603,126752
C15930,127518
C05268,126036
C06593,124130
C01176,126132
C01190,126022
C04596,126592
C00719,126325
C01110,127208
C01929,127447
C06112,126848
C04536,126404
C00105,125835
C02946,126803
C01213,126640
C00108,126927
C00344,126159
C00272,125818
C04092,126808
C06002,127023
C07304,124113
C06037,126158
C02923,126575
C19892,127634
C02165,126501
G00123,125930
G00022,125863
G00018,125866
C00021,127527
C01717,124071
C01268,126443
C01595,126150
C00350,125965
C02483,126094
C03263,126400
C04706,126209
C00417,127250
C15606,127582
C05437,126091
C00860,127446
C00119,125829
C00408,126812
C00275,126996
G00144,126695
G00052,125904
C00014,125812
C11434,126068
C16332,126019
C04330,127233
C01124,126276
G00169,125937
C01789,126568
C01011,125732
C01851,126307
C03383,127531
C06728,126620
C01097,127451
C06731,126604
C00039,125823
C15792,127057
C11472,125953
C05453,126109
C15650,127581
C00407,126776
C01143,126073
C06408,127109
C06070,124074
C00501,126952
C00068,127592
C15781,126149
C11897,126182
C06069,124076
C05427,127619
C00386,126363
C17562,126975
C02723,126301
C02741,126722
C01182,126585
C06548,126280
C02504,126740
C04780,126710
C00001,126942
C11899,126180
C00120,125808
C03012,126227
C06054,126814
C02105,126375
C04121,126682
C01165,126769
C06241,126286
C05754,126051
C20247,124254
C16353,126433
C04598,125977
G00118,125927
C00078,126926
G00094,125912
C15905,127661
C00206,125821
C06329,126208
C04628,127239
C06156,126496
C03203,126236
C03112,126786
C00508,126293
C11691,124108
C06022,125944
C00601,126760
C05122,126354
C02949,126207
C05946,126628
C04851,125959
C00522,126392
C00128,125787
C06040,125974
G01977,127156
C01953,126520
C00436,126908
C01272,126890
C05577,126529
C00842,126492
C04188,126766
C02140,126137
C04778,126413
G09660,127181
C00822,126823
C07732,126240
C03373,127044
C16365,126439
C01100,126342
C00864,126393
C16473,126270
C03033,126733
C00811,127300
C00847,126450
C00049,127707
C15808,126088
C01204,126888
C00876,127230
C06321,126219
C01500,126956
C20525,127605
C16334,127195
C00075,125722
C04633,126040
C01042,127584
C06597,126632
C02646,127305
C15884,127655
C00468,127010
C00131,125720
C02191,126402
C04702,125958
C06610,126336
C18239,127372
C00627,126448
C01037,126794
C06076,124141
C04475,125980
C00780,126371
C15903,127660
C02679,127684
C06553,126624
C07213,126197
C06670,124135
C08590,126178
C01164,126101
C02426,127520
C01847,127369
C00037,127551
C04351,124064
C04783,126249
C04076,126782
C00470,126836
C02185,126947
C16327,126711
C04272,126554
C14826,126015
G01813,125868
C19765,127427
C06000,127021
C00547,126528
C11455,126086
C00055,125725
C00167,125805
C00836,127016
C02035,124137
C01243,126881
C04421,127562
C00423,126351
C13624,126761
C16348,126334
C00958,124089
C00366,126513
C00791,126313
C00621,125853
C00029,127422
C06600,126634
C02798,126821
C00133,126860
C00073,125815
C15785,126556
C04554,126124
