gene,edge,net
K02343,128536,ko01100
K03505,128536,ko01100
K02343,128537,ko01100
K02684,128537,ko01100
K02325,128537,ko01100
K02345,128537,ko01100
K02341,128537,ko01100
K02327,128537,ko01100
K02342,128537,ko01100
K02344,128537,ko01100
K02685,128537,ko01100
K02323,128537,ko01100
K02340,128537,ko01100
K03505,128537,ko01100
K02328,128537,ko01100
K03504,128537,ko01100
K02322,128537,ko01100
K02338,128537,ko01100
K14159,128537,ko01100
K02333,128537,ko01100
K02320,128537,ko01100
K02332,128537,ko01100
K02324,128537,ko01100
K02326,128537,ko01100
K02339,128537,ko01100
K03508,128537,ko01100
K03763,128537,ko01100
K02337,128537,ko01100
K02321,128537,ko01100
K02319,128537,ko01100
K02350,128537,ko01100
K02335,128537,ko01100
K03506,128537,ko01100
K02343,128534,ko01100
K02337,128534,ko01100
K03763,128534,ko01100
K02685,128534,ko01100
K02345,128534,ko01100
K02327,128534,ko01100
K14159,128534,ko01100
K02340,128534,ko01100
K02339,128534,ko01100
K02344,128534,ko01100
K02341,128534,ko01100
K02319,128534,ko01100
K02335,128534,ko01100
K02323,128534,ko01100
K02320,128534,ko01100
K02342,128534,ko01100
K02333,128534,ko01100
K02684,128534,ko01100
K02324,128534,ko01100
K02328,128534,ko01100
K03504,128534,ko01100
K03505,128534,ko01100
K02338,128534,ko01100
K03506,128534,ko01100
K02332,128534,ko01100
K02322,128534,ko01100
K02350,128534,ko01100
K02326,128534,ko01100
K02321,128534,ko01100
K02325,128534,ko01100
K03508,128534,ko01100
K02323,128535,ko01100
K03763,128535,ko01100
K02342,128535,ko01100
K02685,128535,ko01100
K02326,128535,ko01100
K02319,128535,ko01100
K02337,128535,ko01100
K02324,128535,ko01100
K02327,128535,ko01100
K03506,128535,ko01100
K03505,128535,ko01100
K02322,128535,ko01100
K02325,128535,ko01100
K03504,128535,ko01100
K02338,128535,ko01100
K02321,128535,ko01100
K02332,128535,ko01100
K02333,128535,ko01100
K02335,128535,ko01100
K02345,128535,ko01100
K02343,128535,ko01100
K02350,128535,ko01100
K02328,128535,ko01100
K02340,128535,ko01100
K02344,128535,ko01100
K02339,128535,ko01100
K02320,128535,ko01100
K03508,128535,ko01100
K02684,128535,ko01100
K02341,128535,ko01100
K14159,128535,ko01100
K09758,129285,ko01100
K01775,128549,ko01100
K01900,129364,ko01100
K01902,129364,ko01100
K01899,129364,ko01100
K18118,129364,ko01100
K01903,129364,ko01100
K05526,129829,ko01100
K01791,129340,ko01100
K12409,129340,ko01100
K04042,127978,ko01100
K11528,127978,ko01100
K00972,127978,ko01100
K02473,127979,ko01100
K01791,127980,ko01100
K01497,129010,ko01100
K14652,129010,ko01100
K01495,129072,ko01100
K09007,129072,ko01100
K03043,128540,ko01100
K13797,128540,ko01100
K03060,128540,ko01100
K03056,128540,ko01100
K03048,128540,ko01100
K03046,128540,ko01100
K03050,128540,ko01100
K03044,128540,ko01100
K03045,128540,ko01100
K03042,128540,ko01100
K03041,128540,ko01100
K03055,128540,ko01100
K03040,128540,ko01100
K03047,128540,ko01100
K03053,128540,ko01100
K03001,128540,ko01100
K03006,128540,ko01100
K03057,128540,ko01100
K03049,128540,ko01100
K03051,128540,ko01100
K03052,128540,ko01100
K03014,128540,ko01100
K03059,128540,ko01100
K03016,128540,ko01100
K03017,128540,ko01100
K03007,128540,ko01100
K03004,128540,ko01100
K03009,128540,ko01100
K03018,128540,ko01100
K03021,128540,ko01100
K03027,128540,ko01100
K03022,128540,ko01100
K03020,128540,ko01100
K03019,128540,ko01100
K03023,128540,ko01100
K03026,128540,ko01100
K13798,128540,ko01100
K03024,128540,ko01100
K03000,128540,ko01100
K03008,128540,ko01100
K03058,128540,ko01100
K03011,128540,ko01100
K03003,128540,ko01100
K03013,128540,ko01100
K03010,128540,ko01100
K02999,128540,ko01100
K03012,128540,ko01100
K03015,128540,ko01100
K03054,128540,ko01100
K03005,128540,ko01100
K03002,128540,ko01100
K03025,128540,ko01100
K03041,129393,ko01100
K03042,129393,ko01100
K03049,129393,ko01100
K03050,129393,ko01100
K03047,129393,ko01100
K03059,129393,ko01100
K03051,129393,ko01100
K03043,129393,ko01100
K03057,129393,ko01100
K13798,129393,ko01100
K03053,129393,ko01100
K03056,129393,ko01100
K03058,129393,ko01100
K03004,129393,ko01100
K03003,129393,ko01100
K03001,129393,ko01100
K03006,129393,ko01100
K03010,129393,ko01100
K03011,129393,ko01100
K03012,129393,ko01100
K03052,129393,ko01100
K03045,129393,ko01100
K02999,129393,ko01100
K03002,129393,ko01100
K03055,129393,ko01100
K03005,129393,ko01100
K03040,129393,ko01100
K03009,129393,ko01100
K03046,129393,ko01100
K13797,129393,ko01100
K03060,129393,ko01100
K03048,129393,ko01100
K03020,129393,ko01100
K03019,129393,ko01100
K03044,129393,ko01100
K03026,129393,ko01100
K03025,129393,ko01100
K03024,129393,ko01100
K03007,129393,ko01100
K03017,129393,ko01100
K03008,129393,ko01100
K03027,129393,ko01100
K03022,129393,ko01100
K03018,129393,ko01100
K03021,129393,ko01100
K03015,129393,ko01100
K03016,129393,ko01100
K03013,129393,ko01100
K03054,129393,ko01100
K03014,129393,ko01100
K03023,129393,ko01100
K03000,129393,ko01100
K03056,128539,ko01100
K03041,128539,ko01100
K03046,128539,ko01100
K03049,128539,ko01100
K03020,128539,ko01100
K03042,128539,ko01100
K03048,128539,ko01100
K03009,128539,ko01100
K13797,128539,ko01100
K03043,128539,ko01100
K03047,128539,ko01100
K03010,128539,ko01100
K03003,128539,ko01100
K03060,128539,ko01100
K03050,128539,ko01100
K03008,128539,ko01100
K03011,128539,ko01100
K03001,128539,ko01100
K03040,128539,ko01100
K03006,128539,ko01100
K03007,128539,ko01100
K03004,128539,ko01100
K03019,128539,ko01100
K03044,128539,ko01100
K03018,128539,ko01100
K03021,128539,ko01100
K13798,128539,ko01100
K03058,128539,ko01100
K03024,128539,ko01100
